ID,Título,Entidade,Data de abertura,Última atualização,Status,Prioridade,Requerente - Requerente,Atribuído - Técnico,Categoria,Unnamed: 10,descricao
19 234,[PESSOA] TV,Entidade raiz,2026-03-30 07:34,2026-04-07 11:17,Em atendimento (atribuído),Baixa,Requerente_019,Atribuído_007,PROGRAMAÇÃO VISUAL,,"Em um atendimento recente, verificou-se que [pessoa] tv, e a situação causou atraso nas atividades planejadas."
19 275,Computador para professora Bruna,Entidade raiz,2026-04-06 08:24,2026-04-07 11:12,Em atendimento (atribuído),Alta,Requerente_020,Atribuído_008,TI,,"Em um atendimento recente, verificou-se que computador para professora bruna, e foi necessário suporte técnico para resolução."
19 284,Ar condicionado sala Servidores,Entidade raiz,2026-04-07 11:11,2026-04-07 11:11,Em atendimento (atribuído),Baixa,Requerente_019,,INFRA,,"Ao tentar realizar suas atividades, o colaborador percebeu que ar condicionado sala servidores, e a situação causou atraso nas atividades planejadas."
19 265,Som na area externa da 1AgroIFC,Entidade raiz,2026-04-01 09:38,2026-04-06 20:13,Em atendimento (atribuído),Alta,Requerente_018,Atribuído_005,INFRA+AUDIOVISUAL,,"Durante o expediente, o usuário relatou que som na area externa da 1agroifc, e o problema impactou diretamente suas tarefas diárias."
19 276,Datashow não funciona. [SALA].,Entidade raiz,2026-04-06 08:51,2026-04-06 20:11,Em atendimento (atribuído),Média,Requerente_021,Atribuído_005,INFRA+AUDIOVISUAL,,"No início da manhã, foi identificado que datashow não funciona. [sala]., e o incidente ocorreu de forma inesperada."
19 264,Bloquear acesso Internet nos lab - que tal via Veyon?,Entidade raiz,2026-04-01 09:38,2026-04-06 20:09,Em atendimento (atribuído),Alta,Requerente_013,Atribuído_009,TI,,"O chamado foi aberto após constatar que bloquear acesso internet nos lab - que tal via veyon?, e houve necessidade de intervenção da equipe de TI."
19 273,[SERVIÇOS GERAIS] Instalar TV,Entidade raiz,2026-04-01 17:03,2026-04-01 17:03,Em atendimento (atribuído),Média,Requerente_007,,INFRA,,"Durante o expediente, o usuário relatou que [serviços gerais] instalar tv, e houve necessidade de intervenção da equipe de TI."
19 236,Retirar carteiras e cadeiras,Entidade raiz,2026-03-30 09:22,2026-04-01 15:28,Em atendimento (atribuído),Alta,Requerente_022,,INFRA,,"Ao tentar realizar suas atividades, o colaborador percebeu que retirar carteiras e cadeiras, e o problema impactou diretamente suas tarefas diárias."
19 270,SERVIÇOS GERAIS] Manutenção periódica no compressor de ar,Entidade raiz,2026-04-01 14:10,2026-04-01 14:10,Em atendimento (atribuído),Média,Requerente_007,,INFRA,,"O chamado foi aberto após constatar que serviços gerais] manutenção periódica no compressor de ar, e a situação causou atraso nas atividades planejadas."
19 141,[CHAVES] Cópia sala de jogos,Entidade raiz,2026-03-11 17:18,2026-04-01 14:07,Em atendimento (atribuído),Média,Requerente_023,,INFRA,,"Em um atendimento recente, verificou-se que [chaves] cópia sala de jogos, e a situação causou atraso nas atividades planejadas."
19 260,Copiar as Vm's baixadas dos [SERVIDOR] e [SERVIDOR] para o servidor RSYNC 20TB,Entidade raiz,2026-04-01 07:55,2026-04-01 12:55,Em atendimento (atribuído),Muito alta,Requerente_014,Atribuído_004,TI,,"Em um atendimento recente, verificou-se que copiar as vm's baixadas dos [servidor] e [servidor] para o servidor rsync 20tb, e o problema impactou diretamente suas tarefas diárias."
17 373,Atribuir vínculo Autodesk,Entidade raiz,2025-02-19 08:15,2026-04-01 12:10,Em atendimento (atribuído),Média,Requerente_002,Atribuído_010,TI,,"O chamado foi aberto após constatar que atribuir vínculo autodesk, e a situação causou atraso nas atividades planejadas."
19 253,Cadeiras para a 1ªAgroIFC,Entidade raiz,2026-03-31 10:42,2026-04-01 09:44,Em atendimento (atribuído),Alta,Requerente_018,,INFRA,,"Ao tentar realizar suas atividades, o colaborador percebeu que cadeiras para a 1ªagroifc, e foi necessário suporte técnico para resolução."
19 238,realização da mesa de abertura e mesa temática  da 1ª AgroIFC,Entidade raiz,2026-03-30 11:32,2026-04-01 09:11,Em atendimento (atribuído),Alta,Requerente_018,Atribuído_011,EVENTOS,,"O chamado foi aberto após constatar que realização da mesa de abertura e mesa temática  da 1ª agroifc, e o problema impactou diretamente suas tarefas diárias."
19 241,Guardar cadeira e carteira,Entidade raiz,2026-03-30 13:04,2026-04-01 07:31,Em atendimento (atribuído),Média,Requerente_022,,INFRA,,"O chamado foi aberto após constatar que guardar cadeira e carteira, e foi necessário suporte técnico para resolução."
19 244,Placa de acrílico - [SALA],Entidade raiz,2026-03-30 14:55,2026-04-01 07:30,Em atendimento (atribuído),Média,Requerente_008,,INFRA,,"Em um atendimento recente, verificou-se que placa de acrílico - [sala], e foi necessário suporte técnico para resolução."
19 254,acessos a 1ªAgroIFC,Entidade raiz,2026-03-31 10:45,2026-04-01 07:30,Em atendimento (atribuído),Alta,Requerente_018,,INFRA,,"Ao tentar realizar suas atividades, o colaborador percebeu que acessos a 1ªagroifc, e houve necessidade de intervenção da equipe de TI."
19 256,Solda trave,Entidade raiz,2026-03-31 13:21,2026-04-01 07:29,Em atendimento (atribuído),Média,Requerente_007,,INFRA,,"Ao tentar realizar suas atividades, o colaborador percebeu que solda trave, e a situação causou atraso nas atividades planejadas."
19 223,Torneira com vazamento na copa,Entidade raiz,2026-03-26 07:32,2026-04-01 07:29,Em atendimento (atribuído),Alta,Requerente_007,,INFRA,,"Em um atendimento recente, verificou-se que torneira com vazamento na copa, e o incidente ocorreu de forma inesperada."
18 011,Laboratório [SALA] – Manutenções,Entidade raiz,2025-06-12 16:53,2026-03-31 20:02,Em atendimento (atribuído),Média,Requerente_024,Atribuído_009,LABORATÓRIOS DE INFORMÁTICA,,"Em um atendimento recente, verificou-se que laboratório [sala] – manutenções, e foi necessário suporte técnico para resolução."
19 250,Tampa de vaso quebrado do banheiro feminino do [BLOCO],Entidade raiz,2026-03-31 07:33,2026-03-31 13:18,Em atendimento (atribuído),Média,Requerente_007,,INFRA,,"Durante o expediente, o usuário relatou que tampa de vaso quebrado do banheiro feminino do [bloco], e houve necessidade de intervenção da equipe de TI."
19 199,Migração das VM's do [SERVIDOR] para o [SERVIDOR],Entidade raiz,2026-03-20 16:58,2026-03-31 12:55,Em atendimento (atribuído),Critica,Requerente_014,Atribuído_004,TI,,"Durante o expediente, o usuário relatou que migração das vm's do [servidor] para o [servidor], e a situação causou atraso nas atividades planejadas."
19 246,(Re)solicitação - Conserto de ar-condicionado da [SALA].,Entidade raiz,2026-03-30 15:10,2026-03-30 15:36,Em atendimento (atribuído),Alta,Requerente_017,,INFRA,,"No início da manhã, foi identificado que (re)solicitação - conserto de ar-condicionado da [sala]., e foi necessário suporte técnico para resolução."
19 247,[SERVIÇOS GERAIS] Organizar [SALA],Entidade raiz,2026-03-30 15:23,2026-03-30 15:25,Em atendimento (atribuído),Baixa,Requerente_025,,INFRA,,"Durante o expediente, o usuário relatou que [serviços gerais] organizar [sala], e houve necessidade de intervenção da equipe de TI."
19 242,Porta [SALA],Entidade raiz,2026-03-30 14:22,2026-03-30 14:40,Em atendimento (atribuído),Média,Requerente_026,,INFRA,,"O chamado foi aberto após constatar que porta [sala], e foi necessário suporte técnico para resolução."
19 233,Banner para a TV painel,Entidade raiz,2026-03-30 07:33,2026-03-30 07:33,Em atendimento (atribuído),Baixa,Requerente_019,Atribuído_007,PROGRAMAÇÃO VISUAL,,"O chamado foi aberto após constatar que banner para a tv painel, e houve necessidade de intervenção da equipe de TI."
19 204,[PESSOA],Entidade raiz,2026-03-23 14:14,2026-03-27 07:41,Em atendimento (atribuído),Muito alta,Requerente_011,,INFRA,,"No início da manhã, foi identificado que [pessoa], e a situação causou atraso nas atividades planejadas."
18 867,Instalação de cabo HDMI,Entidade raiz,2026-01-20 08:53,2026-03-26 10:57,Em atendimento (atribuído),Baixa,Requerente_002,,INFRA,,"Em um atendimento recente, verificou-se que instalação de cabo hdmi, e o incidente ocorreu de forma inesperada."
18 442,[SERVIÇOS GERAIS] Placa de Trânsito,Entidade raiz,2025-09-17 13:13,2026-03-26 10:56,Em atendimento (atribuído),Baixa,Requerente_011,,INFRA,,"Em um atendimento recente, verificou-se que [serviços gerais] placa de trânsito, e a situação causou atraso nas atividades planejadas."
19 086,[CIVIL] Goteira na [SALA],Entidade raiz,2026-03-03 07:49,2026-03-26 10:56,Em atendimento (atribuído),Baixa,Requerente_004,,INFRA,,"No início da manhã, foi identificado que [civil] goteira na [sala], e a situação causou atraso nas atividades planejadas."
18 810,[CIVIL] Troca de filtro de todos os bebedouros,Entidade raiz,2025-12-17 15:09,2026-03-26 10:54,Em atendimento (atribuído),Média,Requerente_007,,INFRA,,"Ao tentar realizar suas atividades, o colaborador percebeu que [civil] troca de filtro de todos os bebedouros, e o problema impactou diretamente suas tarefas diárias."
18 787,(Drenagem ao redor da estufa (17680),Entidade raiz,2025-12-10 14:48,2026-03-26 10:54,Em atendimento (atribuído),Alta,Requerente_018,,INFRA,,"Em um atendimento recente, verificou-se que (drenagem ao redor da estufa (17680), e o problema impactou diretamente suas tarefas diárias."
18 467,[CIVIL] Vedação nos rufos do telhado dos laboratórios,Entidade raiz,2025-09-22 08:48,2026-03-26 10:53,Em atendimento (atribuído),Média,Requerente_007,,INFRA,,"O chamado foi aberto após constatar que [civil] vedação nos rufos do telhado dos laboratórios, e o problema impactou diretamente suas tarefas diárias."
18 402,[CIVIL]Piso de concreto,Entidade raiz,2025-09-10 15:22,2026-03-26 10:53,Em atendimento (atribuído),Baixa,Requerente_011,,INFRA,,"No início da manhã, foi identificado que [civil]piso de concreto, e foi necessário suporte técnico para resolução."
19 216,Tampa caixa passagem elétrica,Entidade raiz,2026-03-25 11:18,2026-03-26 08:13,Em atendimento (atribuído),Critica,Requerente_011,,INFRA,,"Ao tentar realizar suas atividades, o colaborador percebeu que tampa caixa passagem elétrica, e foi necessário suporte técnico para resolução."
19 220,[PESSOA] [SALA],Entidade raiz,2026-03-25 15:30,2026-03-25 15:30,Em atendimento (atribuído),Média,Requerente_005,,INFRA,,"Durante o expediente, o usuário relatou que [pessoa] [sala], e a situação causou atraso nas atividades planejadas."
19 219,Verificação de infiltração na [SALA],Entidade raiz,2026-03-25 14:01,2026-03-25 14:01,Em atendimento (atribuído),Baixa,Requerente_027,,INFRA,,"O chamado foi aberto após constatar que verificação de infiltração na [sala], e a situação causou atraso nas atividades planejadas."
19 009,[CIVIL] Problema de mau cheiro banheiro PNE laboratórios,Entidade raiz,2026-02-20 07:53,2026-03-25 13:06,Em atendimento (atribuído),Critica,Requerente_011,,INFRA,,"Ao tentar realizar suas atividades, o colaborador percebeu que [civil] problema de mau cheiro banheiro pne laboratórios, e o incidente ocorreu de forma inesperada."
17 093,Mudança da sala do Gabinete e Assessoria,Entidade raiz,2024-11-27 17:13,2026-03-25 10:50,Em atendimento (atribuído),Baixa,Requerente_028,Atribuído_001,INFRA+TI,,"O chamado foi aberto após constatar que mudança da sala do gabinete e assessoria, e houve necessidade de intervenção da equipe de TI."
14 633,Proteção para parede,Entidade raiz,2023-06-01 20:49,2026-03-25 08:54,Em atendimento (atribuído),Média,Requerente_029,,INFRA,,"Durante o expediente, o usuário relatou que proteção para parede, e a situação causou atraso nas atividades planejadas."
15 182,Internet WiFi - [BLOCO],Entidade raiz,2023-10-27 19:15,2026-03-25 08:53,Em atendimento (atribuído),Média,Requerente_030,Atribuído_012,TI,,"Em um atendimento recente, verificou-se que internet wifi - [bloco], e houve necessidade de intervenção da equipe de TI."
18 863,[SERVIÇOS GERAIS] Reparos na copa,Entidade raiz,2026-01-19 09:45,2026-03-25 08:36,Pendente,Baixa,Requerente_002,,INFRA,,"O chamado foi aberto após constatar que [serviços gerais] reparos na copa, e houve necessidade de intervenção da equipe de TI."
19 084,[AR-CONDICIONADO] Ar condicionado [SALA],Entidade raiz,2026-03-02 16:23,2026-03-25 08:18,Em atendimento (atribuído),Baixa,Requerente_031,,INFRA,,"O chamado foi aberto após constatar que [ar-condicionado] ar condicionado [sala], e a situação causou atraso nas atividades planejadas."
19 192,[AR-CONDICIONADO] Climatizador- [SALA],Entidade raiz,2026-03-19 19:46,2026-03-25 08:16,Em atendimento (atribuído),Baixa,Requerente_012,,INFRA,,"Em um atendimento recente, verificou-se que [ar-condicionado] climatizador- [sala], e foi necessário suporte técnico para resolução."
19 196,[AR-CONDICIONADO] Ar condicionado,Entidade raiz,2026-03-20 10:33,2026-03-25 08:14,Em atendimento (atribuído),Baixa,Requerente_019,,INFRA,,"O chamado foi aberto após constatar que [ar-condicionado] ar condicionado, e foi necessário suporte técnico para resolução."
19 209,[AR-CONDICIONADO] Falha na vedação [PESSOA],Entidade raiz,2026-03-23 19:48,2026-03-25 08:14,Em atendimento (atribuído),Média,Requerente_023,,INFRA,,"O chamado foi aberto após constatar que [ar-condicionado] falha na vedação [pessoa], e o problema impactou diretamente suas tarefas diárias."
19 214,[AR-CONDICIONADO] Climatizador - [SALA],Entidade raiz,2026-03-24 18:37,2026-03-25 08:14,Em atendimento (atribuído),Alta,Requerente_032,,INFRA,,"No início da manhã, foi identificado que [ar-condicionado] climatizador - [sala], e o incidente ocorreu de forma inesperada."
19 211,[SERVIÇOS GERAIS] Tampa caixa de passagem quebrada,Entidade raiz,2026-03-24 11:09,2026-03-24 11:09,Em atendimento (atribuído),Média,Requerente_007,,INFRA,,"O chamado foi aberto após constatar que [serviços gerais] tampa caixa de passagem quebrada, e o incidente ocorreu de forma inesperada."
19 210,Goteira na [SALA],Entidade raiz,2026-03-23 21:10,2026-03-23 21:10,Em atendimento (atribuído),Alta,Requerente_033,,INFRA,,"O chamado foi aberto após constatar que goteira na [sala], e a situação causou atraso nas atividades planejadas."
19 182,[SERVIÇOS GERAIS] Vazamento no teto do banheiro feminino do ginásio,Entidade raiz,2026-03-19 10:29,2026-03-23 16:13,Em atendimento (atribuído),Média,Requerente_007,,INFRA,,"Em um atendimento recente, verificou-se que [serviços gerais] vazamento no teto do banheiro feminino do ginásio, e o problema impactou diretamente suas tarefas diárias."
19 202,Tendas,Entidade raiz,2026-03-23 10:53,2026-03-23 10:53,Em atendimento (atribuído),Baixa,Requerente_023,,INFRA,,"Ao tentar realizar suas atividades, o colaborador percebeu que tendas, e o problema impactou diretamente suas tarefas diárias."
19 180,Passagem dos cabos de rede para a mesa do professor nas salas de aula [BLOCO],Entidade raiz,2026-03-19 07:47,2026-03-20 19:04,Em atendimento (atribuído),Alta,Requerente_014,Atribuído_002,TI,,"O chamado foi aberto após constatar que passagem dos cabos de rede para a mesa do professor nas salas de aula [bloco], e a situação causou atraso nas atividades planejadas."
19 079,"[SERVIÇOS GERAIS] [BLOCO], banheiro masculino",Entidade raiz,2026-03-02 14:56,2026-03-19 09:39,Pendente,Baixa,Requerente_034,,INFRA,,"O chamado foi aberto após constatar que [serviços gerais] [bloco], banheiro masculino, e houve necessidade de intervenção da equipe de TI."
19 175,Bebedouros,Entidade raiz,2026-03-18 10:47,2026-03-18 10:47,Em atendimento (atribuído),Baixa,Requerente_035,,INFRA,,"Ao tentar realizar suas atividades, o colaborador percebeu que bebedouros, e a situação causou atraso nas atividades planejadas."
19 170,Testar HD's nos servidores [SALA],Entidade raiz,2026-03-18 08:35,2026-03-18 08:53,Em atendimento (atribuído),Alta,Requerente_014,Atribuído_004,TI,,"O chamado foi aberto após constatar que testar hd's nos servidores [sala], e o incidente ocorreu de forma inesperada."
19 172,Providenciar a Atualização da VM do Zabbix,Entidade raiz,2026-03-18 08:39,2026-03-18 08:39,Em atendimento (atribuído),Média,Requerente_014,Atribuído_004,TI,,"No início da manhã, foi identificado que providenciar a atualização da vm do zabbix, e o problema impactou diretamente suas tarefas diárias."
19 171,Providenciar backup e a migração da VM do FOG Server para outro servidor,Entidade raiz,2026-03-18 08:37,2026-03-18 08:37,Em atendimento (atribuído),Critica,Requerente_014,Atribuído_004,TI,,"O chamado foi aberto após constatar que providenciar backup e a migração da vm do fog server para outro servidor, e a situação causou atraso nas atividades planejadas."
19 168,Verificar o envio de e-mails pelo [SERVIDOR],Entidade raiz,2026-03-18 08:19,2026-03-18 08:19,Em atendimento (atribuído),Muito alta,Requerente_014,Atribuído_004,TI,,"Ao tentar realizar suas atividades, o colaborador percebeu que verificar o envio de e-mails pelo [servidor], e o problema impactou diretamente suas tarefas diárias."
19 165,[CIVIL] Outdoor,Entidade raiz,2026-03-17 16:58,2026-03-18 07:48,Em atendimento (atribuído),Média,Requerente_007,,INFRA,,"Durante o expediente, o usuário relatou que [civil] outdoor, e foi necessário suporte técnico para resolução."
19 162,Verificar o envio de Email da [PESSOA],Entidade raiz,2026-03-17 13:14,2026-03-17 13:14,Em atendimento (atribuído),Alta,Requerente_014,Atribuído_004,TI,,"Durante o expediente, o usuário relatou que verificar o envio de email da [pessoa], e o problema impactou diretamente suas tarefas diárias."
18 009,Laboratório [SALA] – Manutenções,Entidade raiz,2025-06-12 16:51,2026-03-16 11:49,Em atendimento (atribuído),Média,Requerente_024,Atribuído_009,LABORATÓRIOS DE INFORMÁTICA,,"Em um atendimento recente, verificou-se que laboratório [sala] – manutenções, e o incidente ocorreu de forma inesperada."
18 008,Laboratório [SALA] – Manutenções,Entidade raiz,2025-06-12 16:50,2026-03-16 11:41,Em atendimento (atribuído),Média,Requerente_024,Atribuído_009,LABORATÓRIOS DE INFORMÁTICA,,"Em um atendimento recente, verificou-se que laboratório [sala] – manutenções, e a situação causou atraso nas atividades planejadas."
19 050,[AR-CONDICIONADO] Ar condicionado,Entidade raiz,2026-02-25 09:29,2026-03-16 07:42,Em atendimento (atribuído),Alta,Requerente_023,,INFRA,,"Em um atendimento recente, verificou-se que [ar-condicionado] ar condicionado, e houve necessidade de intervenção da equipe de TI."
19 155,[AR-CONDICIONADO] Conserto de ar-condicionado,Entidade raiz,2026-03-13 16:01,2026-03-16 07:39,Em atendimento (atribuído),Alta,Requerente_017,,INFRA,,"No início da manhã, foi identificado que [ar-condicionado] conserto de ar-condicionado, e foi necessário suporte técnico para resolução."
19 149,Chuvas recorrentes no interior do lab [SALA]: chuva no inteiror do lab dia 12/03/26,Entidade raiz,2026-03-12 17:50,2026-03-13 16:30,Em atendimento (atribuído),Alta,Requerente_036,,INFRA,,"No início da manhã, foi identificado que chuvas recorrentes no interior do lab [sala]: chuva no inteiror do lab dia 12/03/26, e foi necessário suporte técnico para resolução."
19 134,Cabeamento,Entidade raiz,2026-03-10 17:43,2026-03-12 12:27,Em atendimento (atribuído),Baixa,Requerente_027,Atribuído_002,INFRA+TI,,"Em um atendimento recente, verificou-se que cabeamento, e foi necessário suporte técnico para resolução."
19 144,Configurar pontos de rede das salas de aula do [BLOCO],Entidade raiz,2026-03-12 11:47,2026-03-12 11:54,Em atendimento (atribuído),Muito alta,Requerente_014,Atribuído_002,TI,,"Em um atendimento recente, verificou-se que configurar pontos de rede das salas de aula do [bloco], e o problema impactou diretamente suas tarefas diárias."
18 910,Instalação dos outdoors,Entidade raiz,2026-02-03 16:07,2026-03-12 07:39,Em atendimento (atribuído),Alta,Requerente_037,,INFRA,,"Durante o expediente, o usuário relatou que instalação dos outdoors, e a situação causou atraso nas atividades planejadas."
19 080,[ELÉTRICA] Lâmpada,Entidade raiz,2026-03-02 15:00,2026-03-11 16:42,Em atendimento (atribuído),Baixa,Requerente_034,,INFRA,,"Durante o expediente, o usuário relatou que [elétrica] lâmpada, e a situação causou atraso nas atividades planejadas."
19 140,Chuvas recorrentes no interior do laboratório [SALA] (Automação Industrial),Entidade raiz,2026-03-11 13:56,2026-03-11 16:10,Em atendimento (atribuído),Alta,Requerente_036,,INFRA,,"No início da manhã, foi identificado que chuvas recorrentes no interior do laboratório [sala] (automação industrial), e houve necessidade de intervenção da equipe de TI."
19 061,[PESSOA] de [PESSOA],Entidade raiz,2026-02-27 07:57,2026-03-10 10:46,Em atendimento (atribuído),Critica,Requerente_011,,INFRA,,"O chamado foi aberto após constatar que [pessoa] de [pessoa], e foi necessário suporte técnico para resolução."
